date,name,nation,score
2023-01-20,Derek Chavez II,Mexico,72
2023-02-17,Christina Montoya,Luxembourg,69
2023-01-15,Gary Moore,Poland,80
2023-02-02,Jacqueline Jackson,Iceland,47
2023-01-31,Sara Copeland,Hungary,34
2023-01-25,Thomas Stevenson,Seychelles,22
2023-01-14,Emma Oliver,Peru,9
2023-01-09,Eric Ramos,Niger,30
2023-03-08,Kristina Hayes,San Marino,70
2023-01-23,Amanda West,Dominican Republic,82
2023-03-18,Perry Leon,Togo,4
2023-03-13,Theresa Taylor,Myanmar,37
2023-03-15,Heather Moore,South Georgia and the South Sandwich Islands,3
2023-02-27,Brian Freeman,British Indian Ocean Territory (Chagos Archipelago),99
2023-01-25,Thomas Williamson,British Virgin Islands,0
2023-03-09,Albert Gomez,Canada,78
2023-01-03,James Dixon,Japan,9
2023-02-25,Tara Page,Austria,53
2023-03-09,Carlos Cameron,Chile,32
2023-03-03,Randall Whitehead,Slovenia,57
2023-02-07,Eric Ibarra,Kuwait,39
2023-01-09,Scott King,Brazil,94
2023-02-26,Joseph Ward,Pakistan,61
2023-02-25,Sarah Underwood,South Georgia and the South Sandwich Islands,37
2023-02-24,Troy Oconnell,Korea,49
2023-03-19,Morgan Fleming,Belarus,28
2023-02-14,Vanessa Nicholson,Haiti,0
2023-01-14,Holly Thomas,San Marino,49
2023-03-20,Mary Kelly,Oman,24
2023-01-30,Joseph Hansen,United States of America,62
2023-02-02,Stephen Mendez,Liechtenstein,71
2023-02-07,Daniel Holt,Saint Barthelemy,90
2023-02-15,Austin York,Solomon Islands,92
2023-02-13,Jocelyn Taylor,Montenegro,97
2023-03-09,Norma Schwartz,Guinea,19
2023-02-02,Lauren Leon,Holy See (Vatican City State),69
2023-01-22,Lori Jennings,Mongolia,60
2023-02-26,Henry Allen,Moldova,38
2023-03-17,David Baker,French Guiana,5
2023-03-17,David Nguyen,Algeria,13
2023-01-24,Aaron Williamson,Mauritius,78
2023-02-24,Traci Gonzales,El Salvador,13
2023-02-01,Nicole Trevino,Mongolia,45
2023-01-04,Garrett Meyer,United Kingdom,26
2023-03-22,Steven Shelton,Pitcairn Islands,22
2023-01-07,Jennifer Diaz,Pakistan,95
2023-02-09,Dennis Robles,Holy See (Vatican City State),30
2023-02-25,Paige Wright,Yemen,68
2023-01-20,April Lopez,Central African Republic,68
2023-01-27,Tracy Pena,Togo,94
2023-03-01,Raymond Brown,Pakistan,64
2023-02-19,Lauren Martinez,Romania,37
2023-02-13,John Sullivan,Hong Kong,28
2023-03-11,Michael Reese,Wallis and Futuna,32
2023-03-04,Paul Farley,Andorra,54
2023-03-17,Gary Rodriguez,Mozambique,90
2023-01-27,John Garcia,Netherlands,34
2023-03-03,Lisa Matthews,Algeria,79
2023-02-27,Dana Cruz,Peru,84
2023-01-01,David Johnson,Ireland,13
2023-02-25,Maria Smith,Mali,52
2023-01-20,Beth Garcia,Burundi,36
2023-01-24,Luis Johnson,Montserrat,75
2023-01-02,Jeffrey Santiago Jr.,Jersey,6
2023-01-09,Chelsey Dixon,Haiti,96
2023-02-19,Stephanie Wilson,Sao Tome and Principe,17
2023-03-05,Denise Henry,Netherlands,34
2023-03-16,Robert Salinas,Benin,25
2023-03-10,Matthew Wilson,Iraq,11
2023-02-09,Jeffrey Ford,Guyana,78
2023-02-10,Jacob Manning,Nicaragua,8
2023-02-24,Angela Cross,Turkmenistan,77
2023-02-11,Wesley Perez,Azerbaijan,22
2023-02-14,Dustin Fox,Martinique,94
2023-01-04,Corey Todd,Montenegro,22
2023-01-31,Courtney Gardner,British Virgin Islands,88
2023-02-22,Michael Diaz,Tokelau,59
2023-01-18,George Joseph,Singapore,12
2023-01-13,Tyler Randall,Serbia,77
2023-02-16,Alexander Johnson,Saint Kitts and Nevis,93
2023-01-31,Felicia Henry,Antarctica (the territory South of 60 deg S),53
2023-01-15,Mr. David Johnson DVM,Kiribati,95
2023-01-10,Julie Scott,Malaysia,57
2023-01-04,Zachary Adams,Cote d'Ivoire,64
2023-02-20,Rebecca Huynh,China,98
2023-03-11,Kayla Marsh,Guadeloupe,79
2023-01-11,Jill Wallace,Macao,77
2023-02-15,Robert Adams,Palestinian Territory,3
2023-02-15,David Rogers,Cape Verde,20
2023-02-04,Robert Sawyer,Belize,73
2023-03-22,Sally Smith,Greece,86
2023-02-14,Nancy Gray,Gabon,38
2023-02-09,Kelsey Santos,Lebanon,38
2023-03-22,Casey Poole MD,Puerto Rico,52
2023-01-28,Nicole Taylor,Palau,66
2023-02-19,Daniel Martinez,Romania,61
2023-01-27,Dr. Michael Howell,Mongolia,18
2023-03-03,Eric Zamora,Slovakia (Slovak Republic),44
2023-02-07,Michael Black,Argentina,3
2023-02-24,Melanie Copeland,Honduras,94
2023-03-10,Lauren Reid,Hong Kong,95
2023-02-28,Ann Weiss,Jordan,74
2023-03-13,Jennifer Davila,Korea,96
2023-03-12,David Conway,Saudi Arabia,83
2023-01-06,Selena Ramos,Dominica,24
2023-03-19,Christina Burns,New Zealand,24
2023-03-04,Frank Thompson,Puerto Rico,48
2023-02-25,Haley Rogers,Australia,40
2023-02-21,Michael Ramirez,Eritrea,39
2023-01-09,Justin Roach,Lesotho,25
2023-01-29,Sherri Hanson,Bahamas,75
2023-01-28,Barry Evans,Pakistan,67
2023-03-08,John Gordon,Costa Rica,69
2023-02-09,John Mccoy,United States Virgin Islands,50
2023-03-14,Dakota Gray,Palestinian Territory,80
2023-01-25,Heather Smith,Seychelles,40
2023-02-06,Kristin Lopez,Lao People's Democratic Republic,0
2023-02-25,Mindy Powell,Mali,17
2023-03-06,Crystal Porter,Lebanon,44
2023-01-19,Dustin Patterson,Russian Federation,44
2023-02-03,Janet Lopez,Grenada,64
2023-03-16,Christina Mccarty,Indonesia,92
2023-02-21,Julia Brooks,Croatia,76
2023-01-14,Collin Arnold,Malaysia,84
2023-03-13,Tiffany Watts,Spain,52
2023-01-10,Mr. Matthew Taylor MD,Barbados,38
2023-01-30,Kayla King,Chile,36
2023-01-28,Robert Davis,Colombia,62
2023-02-17,Melissa Brown,Guatemala,64
2023-02-23,Leslie Foley,Aruba,77
2023-02-11,Nicole Smith,Finland,86
2023-01-06,Ariel Greene,Guinea,37
2023-01-31,Joseph Richardson,Albania,18
2023-01-07,Christopher Owens,Malta,9
2023-02-19,Carrie Mckay MD,Central African Republic,63
2023-02-10,Travis Salazar,Liberia,18
2023-01-25,Karen Reyes,Samoa,44
2023-01-30,Leroy Michael,Madagascar,28
2023-03-01,Matthew Calderon,Liberia,21
2023-02-11,Molly Mann,Germany,15
2023-01-09,Joshua Ortiz,Mozambique,27
2023-02-20,Tammy Brown DDS,Hong Kong,74
2023-03-01,Daniel Church,Guernsey,18
2023-02-17,Jessica Moore,Cameroon,83
2023-01-03,Patrick Mendoza,Guinea,13
2023-02-08,Jason Shaw,Malaysia,31
2023-02-17,Eric Pratt,Netherlands Antilles,96
2023-01-02,Ariel Payne,Eritrea,75
2023-03-14,Miguel Pierce,Monaco,41
2023-02-16,Kelly Bradford,Montserrat,91
2023-01-03,Mackenzie Chang,Uganda,75
2023-03-13,Sandra Golden,Brunei Darussalam,68
2023-03-18,Brian Maddox,Pakistan,22
2023-02-04,Sean Tucker,Uzbekistan,21
2023-01-22,Madeline Lee,Denmark,98
2023-01-12,Joshua Lee,Nepal,46
2023-01-14,David Mcguire,Bosnia and Herzegovina,17
2023-01-23,Christina Morgan,Eritrea,90
2023-02-15,Andrew Davis,Saint Kitts and Nevis,17
2023-01-06,Krista Roy,Solomon Islands,41
2023-02-14,Gilbert Frye,Brazil,31
2023-03-16,Justin Walker,Belgium,46
2023-03-11,Janet Sullivan,Latvia,48
2023-01-22,Philip Ford,Macao,1
2023-01-04,Brian Smith,United States Virgin Islands,16
2023-01-02,Roberto Barnes,Pakistan,91
2023-03-07,Nicole Jones,Chad,73
2023-01-26,Jason Chen,Heard Island and McDonald Islands,58
2023-01-18,Jennifer Floyd,Italy,16
2023-01-12,Donald Gardner,Bouvet Island (Bouvetoya),34
2023-02-05,James Johnson,Mozambique,80
2023-02-21,Benjamin Santiago DDS,Slovakia (Slovak Republic),13
2023-01-11,Julie Collins,Mali,8
2023-01-05,Katie Beard,Nicaragua,88
2023-02-21,Mary Smith,Lithuania,80
2023-02-28,Sean Frey,Jamaica,55
2023-02-07,William Nunez,British Virgin Islands,56
2023-02-06,Travis Howard,Israel,78
2023-01-02,Brian Alexander,Palau,68
2023-01-17,Jonathan Ramsey,Serbia,45
2023-02-10,Charles Bradford,Gabon,73
2023-01-12,Amy Crawford,Chile,82
2023-02-16,Anthony Phillips,Korea,37
2023-01-21,Isabella Newman,Timor-Leste,36
2023-02-06,Meagan Guerra,Belize,75
2023-01-29,Courtney Mcintyre,Yemen,59
2023-02-05,Benjamin Padilla,Monaco,26
2023-02-09,Melissa Ward,Gibraltar,35
2023-03-20,Steven Oconnor,Japan,58
2023-03-22,Michelle Thomas,Turkey,28
2023-02-01,Christina Glover,Albania,58
2023-02-26,Christina Sullivan,Hungary,74
2023-01-25,Sandra Morgan,Kenya,41
2023-03-14,Mrs. Mary Rose,Nepal,81
2023-01-12,Lisa Hopkins,Azerbaijan,18
2023-02-06,Darius Thompson,Slovakia (Slovak Republic),80
2023-02-20,Lauren Spencer,South Georgia and the South Sandwich Islands,42
2023-02-16,Misty Bentley,Antarctica (the territory South of 60 deg S),12
2023-03-17,Shelby Davis,Bhutan,68
2023-03-09,Wendy Mcmillan,Korea,11
2023-01-04,Samantha Braun,Montserrat,54
2023-01-26,Thomas Edwards,Barbados,7
2023-02-13,Richard West,Sweden,71
2023-03-07,Sarah Robinson,Niger,98
2023-03-17,Brandon Shaffer,United States of America,26
2023-03-16,Nathaniel Cox,South Georgia and the South Sandwich Islands,8
2023-03-03,Hayley Clark,New Zealand,68
2023-03-22,Caitlin Riley,Sudan,14
2023-01-06,Jacob Lee,Kiribati,61
2023-02-03,Cassandra Moody,Nepal,47
2023-01-22,Dana Rich,Liechtenstein,11
2023-02-28,Crystal Berry,Grenada,77
2023-01-01,Jay Gibbs,French Polynesia,17
2023-03-01,Emily Cole,Kiribati,70
2023-03-14,Cheryl Pennington,Liechtenstein,88
2023-03-01,Roberto Goodman,Micronesia,65
2023-02-28,Rodney Woodward,Montenegro,71
2023-02-18,Jennifer Price DDS,Swaziland,44
2023-03-07,Deborah Deleon,Samoa,14
2023-02-09,Mathew Barrett,Venezuela,36
2023-01-26,Andrew Lynch,Papua New Guinea,72
2023-01-08,Diana Snyder,Taiwan,62
2023-03-12,Daniel Clark,Isle of Man,42
2023-01-25,Elizabeth Mcclain,Mauritius,47
2023-01-25,Christina Jackson PhD,Guatemala,60
2023-02-05,Larry Fritz,Montserrat,27
2023-02-01,Samantha Cooper DDS,Belgium,50
2023-03-11,Matthew Rivera,Lithuania,71
2023-03-04,Jacob Anderson,Central African Republic,65
2023-03-14,Linda Lang,Senegal,87
2023-03-15,Diana Castro,Colombia,73
2023-01-17,Lauren Nelson,Falkland Islands (Malvinas),26
2023-03-07,David Freeman,Tajikistan,17
2023-02-09,Samantha Miller,Barbados,0
2023-01-30,Marissa Mejia,Ghana,11
2023-02-09,Michelle Porter,Nicaragua,4
2023-02-05,Tamara Nelson,Saint Pierre and Miquelon,71
2023-01-02,Ashley Cannon,Germany,22
2023-03-06,Frank Norris,Marshall Islands,62
2023-03-17,Nathaniel Moreno,Suriname,75
2023-03-08,Louis Zamora,Zambia,97
2023-02-07,Maureen Wiley,Western Sahara,11
2023-01-03,Craig Miller,Canada,50
2023-01-26,Joseph Abbott,India,85
2023-01-21,Mia Diaz,Malawi,61
2023-02-12,Amanda Bowman,Slovakia (Slovak Republic),33
2023-02-16,Amy Bell,Tajikistan,66
2023-02-17,Amber Johnston DDS,Marshall Islands,84
2023-02-19,Collin Miller,Dominica,68
2023-01-10,Margaret Clark,Zimbabwe,7
2023-02-25,Kathryn Combs,Iceland,43
2023-02-27,Geoffrey Crawford,Uruguay,76
2023-01-07,Robert Richardson,Nauru,56
2023-01-02,Sara Brown,Bangladesh,26
2023-01-29,Mary Parsons,Iran,95
2023-01-10,Melvin Mendoza,Cocos (Keeling) Islands,21
2023-03-08,Stephanie Powell,Yemen,30
2023-01-20,Adam Klein,Bolivia,56
2023-01-28,Peter Davis,Mayotte,16
2023-03-09,Natalie Holden,Singapore,27
2023-02-24,Jennifer Jackson,Niger,77
2023-02-07,Daniel Weeks,Senegal,1
2023-02-21,Diane Welch,Ecuador,42
2023-01-08,Christopher Williams,Costa Rica,11
2023-02-11,Nicole Solomon,Russian Federation,79
2023-02-26,Amanda Salazar,Madagascar,88
2023-01-18,Marcus Diaz,El Salvador,43
2023-02-12,Sonya Garcia,Norway,72
2023-01-19,Christopher Woodard,San Marino,37
2023-02-07,Amanda Perkins,Czech Republic,35
2023-01-16,Deborah Abbott,Guernsey,95
2023-01-11,Natalie Montgomery,Djibouti,74
2023-03-22,Karen Jordan,Kyrgyz Republic,64
2023-01-10,Jennifer Castro,Dominican Republic,0
2023-03-10,Dr. Charles Miller,Kazakhstan,72
2023-01-20,Richard Rhodes,Bulgaria,66
2023-02-04,Debra Lewis,Mexico,45
2023-02-13,Anthony Gallegos,French Southern Territories,44
2023-03-14,Valerie Brown,Ireland,26
2023-02-19,Lucas Myers,Zambia,58
2023-02-10,Thomas Williams,Guam,3
2023-02-21,Jonathan Williams,Aruba,89
2023-01-01,Megan Johnson,Oman,20
2023-02-16,Christopher Glass,India,88
2023-01-24,Debra Ellis,Wallis and Futuna,1
2023-01-30,Renee Gibson,Solomon Islands,33
2023-01-21,Steve Carpenter,Cape Verde,1
2023-03-06,Joshua Frank,Panama,28
2023-02-13,Kristen Delacruz,Gambia,12
2023-03-04,Rodney Bowers,Taiwan,94
2023-02-21,Aaron Bennett MD,Seychelles,24
2023-02-05,William Waters,Central African Republic,16
2023-03-21,Christopher Dean,Bouvet Island (Bouvetoya),7
2023-02-20,Sharon Richards,French Polynesia,21
2023-01-13,Michael Gomez,Guadeloupe,3
2023-02-08,Karen Frazier,Gibraltar,46
2023-01-15,Pamela Bishop,Germany,89
2023-01-04,Mr. Robert Walker,Mauritania,63
2023-03-01,Glenn Mann,Liechtenstein,51
2023-02-09,Danielle Diaz,Reunion,75
2023-01-01,Maria Taylor,Tunisia,35
2023-02-07,Connor Garcia,Pitcairn Islands,5
2023-03-10,Anthony Contreras,Tuvalu,81
2023-01-29,Mary Gonzalez,Antigua and Barbuda,61
2023-02-23,Danielle Jackson,Korea,44
2023-01-07,Haley Taylor,Iraq,88
2023-01-14,Vanessa Curry,Afghanistan,19
2023-03-08,Christopher Sullivan,Timor-Leste,45
2023-01-19,Adrian Tyler,Puerto Rico,17
2023-01-14,Stacey Smith,Angola,96
2023-03-14,Teresa Palmer,Iran,34
2023-01-20,Christine Gillespie,Reunion,42
2023-02-18,Edwin Schmidt,Niger,67
2023-02-16,Eric Boone,Niue,33
2023-02-18,Laura Holt,Sao Tome and Principe,20
2023-01-08,Melissa Robbins,Senegal,10
2023-02-01,Ashley Harris DVM,Gibraltar,54
2023-03-05,Barry Marshall,Saint Barthelemy,78
2023-01-22,Richard Bryant,Iraq,58
2023-02-03,Jack Young,Bosnia and Herzegovina,87
2023-03-09,Carrie Hood,Indonesia,7
2023-01-23,Kristi Allison,Bermuda,33
2023-03-11,John Thomas,China,86
2023-01-10,Susan Johnson,Colombia,25
2023-02-02,Mr. Gary Yang,El Salvador,68
2023-03-17,Brittney Goodwin,Mayotte,89
2023-02-22,Chad Ochoa,Vanuatu,68
2023-02-13,Amanda Garza,Sao Tome and Principe,88
2023-01-24,Jodi Smith,Belize,5
2023-03-04,April Alvarez,Wallis and Futuna,30
2023-03-03,Kimberly Hopkins,Poland,2
2023-02-14,Heather Martinez,Falkland Islands (Malvinas),15
2023-01-27,Tina Martinez,Jordan,2
2023-02-27,Amy Foley,Chad,81
2023-02-18,Anna Ramos,Grenada,96
2023-03-09,William Phillips,Chad,17
2023-01-10,Jennifer Hill,Haiti,8
2023-01-15,Angela Shaw,Belgium,15
2023-01-24,Robert Farmer,Palau,72
2023-01-13,Jeffrey Oconnell,Nicaragua,71
2023-01-11,Samantha Rubio,India,2
2023-02-03,Jesse Grimes,Jamaica,49
2023-02-09,Nathan Vaughn,Haiti,28
2023-02-13,Rachel Simmons,Angola,60
2023-03-11,Angela Williams,Ukraine,76
2023-02-04,Benjamin Jimenez,Israel,97
2023-01-02,Laura Crawford,Nigeria,61
2023-03-19,Jennifer Gillespie,Reunion,71
2023-01-18,Timothy Diaz,British Virgin Islands,29
2023-02-07,Mark Taylor,Gabon,8
2023-01-01,Andrew Hall,Russian Federation,64
2023-03-01,Holly Wright DVM,Macedonia,10
2023-01-11,Sarah Good,Guinea,24
2023-01-15,Sergio Burgess,French Guiana,96
2023-01-06,Mary Reyes,Jersey,76
2023-01-26,Penny Morgan,Albania,93
2023-02-14,Gabriel Jenkins,Botswana,90
2023-01-05,Margaret Huffman,Christmas Island,17
2023-01-14,Frank Young,Togo,80
2023-01-23,Melissa Flores,Slovenia,31
2023-03-15,Gerald Moss,Guam,84
2023-02-15,Leah Rivera,Israel,27
2023-02-06,Tyler Frank,Micronesia,95
2023-01-03,Jennifer Boyd,Ethiopia,5
2023-03-13,Barry Nelson,Comoros,86
2023-03-06,Kevin Murphy,Algeria,69
2023-03-06,Yvonne Johnson,Saudi Arabia,45
2023-01-09,Jason Torres,Colombia,23
2023-02-25,Michael Webb,Ghana,48
2023-02-06,Alyssa Jones,Holy See (Vatican City State),11
2023-02-26,Richard Gray,Afghanistan,87
2023-02-23,Barbara Castaneda,Wallis and Futuna,44
2023-02-27,Renee Newman,Falkland Islands (Malvinas),75
2023-02-15,Tony Lin,Mauritania,50
2023-03-20,James White,Bahrain,21
2023-01-16,Claudia Moore,Spain,96
2023-01-19,Stephen Bennett,Guam,62
2023-03-10,David Daniels,Kazakhstan,53
2023-02-25,Diana Rogers,French Polynesia,38
2023-02-09,William Carlson,Tuvalu,57
2023-02-24,Ricardo Henry,Bermuda,12
2023-02-03,Jennifer Soto,Iraq,9
2023-02-03,Amber Briggs,Timor-Leste,73
2023-02-02,Christina Brown,Fiji,74
2023-02-24,Jonathan Parker,Chad,87
2023-03-05,Gary Koch,Solomon Islands,9
2023-01-17,Melissa Santos,Turkmenistan,64
2023-02-12,Terry Dawson,Mauritania,46
2023-02-20,Misty Hill,Dominica,3
2023-02-23,Stuart Franco,Brazil,30
2023-02-03,Sara Silva,Libyan Arab Jamahiriya,63
2023-01-29,Teresa Huerta MD,Christmas Island,13
2023-02-20,Dennis Gonzales,Syrian Arab Republic,38
2023-01-06,Stephen Anderson,Chile,54
2023-01-18,Juan Mckenzie,Cambodia,80
2023-02-09,Patrick Burns,Tokelau,40
2023-03-08,Courtney Reyes,Austria,51
2023-01-17,Melissa Robinson,Colombia,26
2023-01-13,Dorothy James,Bahamas,91
2023-02-27,Kenneth Fuller,Chad,44
2023-01-16,Ms. Andrea Becker,Puerto Rico,34
2023-02-18,Duane Bray,Gabon,31
2023-01-03,Monique Martinez,Honduras,37
2023-01-13,Stephanie Russell,Myanmar,17
2023-02-28,Leah Reyes,Wallis and Futuna,4
2023-03-01,Wendy Long,Kuwait,61
2023-03-03,Marcus Vargas,Armenia,14
2023-02-23,Steve Smith,Korea,52
2023-03-05,Vernon Gonzalez,Micronesia,98
2023-02-23,Laura Brown,Mayotte,93
2023-01-21,Ashley Moore,Antarctica (the territory South of 60 deg S),11
2023-03-08,George Sanders,Guadeloupe,7
2023-02-05,Darrell Joyce,Bahamas,88
2023-02-24,Carla Roberts,Zambia,21
2023-02-14,James Norton,Nepal,46
2023-01-31,Sarah Benjamin,Congo,1
2023-02-06,Heather Nelson,Saint Barthelemy,55
2023-03-14,Sabrina Gray,Qatar,98
2023-01-01,Craig Lewis,Tunisia,75
2023-03-13,Crystal Roberts,Saint Lucia,45
2023-01-12,Samuel Steele,Andorra,83
2023-01-03,April Cardenas,Norway,40
2023-02-15,Latoya Shepherd,Ethiopia,2
